Symptom,Disease
A bloated stomach with cramps that feel like twisting,Diabetes Mellitus
"A burning pain in the stomach, especially on an empty stomach",Strep Throat
A burning sensation in the chest after eating spicy food,Pneumonia
A constant ringing sound in the ears that disrupts concentration,Cervical Cancer
"A deep, aching pain in the joints that worsens in cold weather",Heart Attack
A dry cough that persists for weeks without relief,Gastroesophageal Reflux Disease
"A dry, scratchy throat that worsens when swallowing",Eczema
A dull pain in the lower back that radiates to the legs,Irritable Bowel Syndrome
A feeling of extreme fatigue that doesn’t improve even after resting,Alzheimer’s Disease
A feeling of fullness in the ears with reduced hearing,Lymphoma
A feeling of pins and needles in the hands after waking up,Diabetes Mellitus
A fever that fluctuates between chills and sweating,Hyperthyroidism
"A heavy pressure in the chest, making it difficult to breathe deeply",Pancreatitis
A loss of appetite accompanied by unintentional weight loss,Psoriasis
A persistent metallic or bitter taste in the mouth,Fibromyalgia
A persistent sore throat with white patches on the tonsils,Dengue Fever
A pulsating headache focused on one side of the head,Diabetes Mellitus
A rash with fluid-filled blisters that burst and scab over,Pneumonia
"A sensation of something stuck in the throat, making swallowing difficult",Psoriasis
A sharp pain behind the eyes that intensifies with bright lights,Osteoporosis
A sharp pain in the side that worsens when taking deep breaths,Lymphoma
"A sharp pain when urinating, along with cloudy urine",Chronic Fatigue Syndrome
"A sharp, stabbing pain in the lower right side of the abdomen",Strep Throat
A stabbing pain in the ears that worsens at night,Lung Cancer
A strong metallic taste in the mouth that won’t go away,Food Poisoning
A sudden dizziness that makes it hard to stand up straight,Lymphoma
A sudden sharp pain in the lower back that worsens with movement,Food Poisoning
"A sudden, sharp pain in the middle of the chest lasting several minutes",Common Cold
A swollen and painful knee that becomes stiff in the morning,Dengue Fever
A throbbing toothache that worsens when chewing food,Liver Cirrhosis
A tingling sensation in the fingers and toes that comes and goes,Strep Throat
A twisting pain in the stomach followed by diarrhea,Vertigo
An intense itching sensation all over the body without a clear cause,Alzheimer’s Disease
An itchy red rash that spreads across the arms and neck,Food Poisoning
Blurred vision accompanied by difficulty focusing,Fibromyalgia
Chest pain that radiates to the left arm and jaw,Pancreatitis
"Cold, sweaty palms along with a racing heartbeat",Gout
"Difficulty swallowing solid foods, leading to frequent choking",Strep Throat
Frequent nosebleeds without an apparent cause,Peptic Ulcer
Frequent urination accompanied by a strong burning sensation,Meningitis
Nausea accompanied by cold sweats and dizziness,Skin Cancer
Persistent headache that feels like a tight band around the forehead,Strep Throat
"Stiffness and difficulty moving the neck, especially in the morning",Shingles
Sudden weakness in one side of the body with difficulty speaking,Colon Cancer
"Sudden, unexplained bruising on the arms and legs",Osteoporosis
Swelling in the feet and ankles that worsens throughout the day,Irritable Bowel Syndrome
Uncontrollable shivering despite being in a warm room,Cervical Cancer
Unusual hair loss that leads to visible thinning,Alzheimer’s Disease
Waking up at night gasping for air,Prostate Cancer
